	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	rate	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	3540.99	20884020418274190156	156		地铁云购票	0.02	99474967007411	收费退费	20160109231445205	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	退费	15.00	2016010921001004410076794211	15.00	收费	2016-01-10 01:10:51
	3525.99	20884020418274190156	156		地铁云购票	0.00	99474967016410	???????	20160109231445205	15.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	交易退款	15.00	2016010921001004410076794211	15.00	转账	2016-01-10 01:10:51
	3531.99	20884020418274190156	156		地铁云购票	6.00	99475042217411		2016011001482574	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	快速支付,支付给个人，支付宝帐户全额	6.00	2016011021001004410077053455	6.00	在线支付	2016-01-10 01:48:43
	3531.98	20884020418274190156	156		地铁云购票	0.00	99264054065820	服务费[2016011021001004410077053455]	2016011001482574	0.01	2088121591571824	20881215915718240156	广州地铁集团有限公司	0.00			收费	6.00	2016011021001004410077053455	6.00	收费	2016-01-10 01:48:44
	3531.99	20884020418274190156	156		地铁云购票	0.01	99475066163411	收费退费	2016011001482574	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	退费	6.00	2016011021001004410077053455	6.00	收费	2016-01-10 02:04:37
	3525.99	20884020418274190156	156		地铁云购票	0.00	99475066167410	???????	2016011001482574	6.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	交易退款	6.00	2016011021001004410077053455	6.00	转账	2016-01-10 02:04:37
	3535.99	20884020418274190156	156		地铁云购票	10.00	99475080820411		20160110021404827	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	快速支付,支付给个人，支付宝帐户全额	10.00	2016011021001004410077053605	10.00	在线支付	2016-01-10 02:14:18
	3535.98	20884020418274190156	156		地铁云购票	0.00	99264105453820	服务费[2016011021001004410077053605]	20160110021404827	0.01	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	收费	10.00	2016011021001004410077053605	10.00	收费	2016-01-10 02:14:18
	3545.98	20884020418274190156	156		地铁云购票	10.00	99475092223411		20160110022018120	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	快速支付,支付给个人，支付宝帐户全额	10.00	2016011021001004410077053640	10.00	在线支付	2016-01-10 02:21:04
	3545.97	20884020418274190156	156		地铁云购票	0.00	99264118011820	服务费[2016011021001004410077053640]	20160110022018120	0.01	2088121591571824	20881215915718240156	广州地铁集团有限公司	0.00			收费	10.00	2016011021001004410077053640	10.00	收费	2016-01-10 02:21:05
	3545.98	20884020418274190156	156		地铁云购票	0.01	99475094595411	收费退费	20160110022018120	0.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	退费	10.00	2016011021001004410077053640	10.00	收费	2016-01-10 02:22:30
	3535.98	20884020418274190156	156		地铁云购票	0.00	99475094618410	???????	20160110022018120	10.00	2088121591571824	0.001	20881215915718240156	广州地铁集团有限公司	0.00		快捷手机wap支付	交易退款	10.00	2016011021001004410077053640	10.00	转账	2016-01-10 02:22:30
	3542.98	20884029250620150156	156		广州地铁单程票 1张	7.00	99163548010011		65dc90b28db347629eab377a073a479715	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011021001004010079253098	0.00	转账	2016-01-10 06:38:07
	3550.98	20889028011381010156	156		广州地铁单程票 2张	8.00	99070796691101		196ea13b720c4de2b9ce6dfe4450dbce01	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	8.00	2016011021001004100003106453	0.00	转账	2016-01-10 06:40:40
	3556.98	20889026771100140156	156		广州地铁单程票 1张	6.00	99163550578011		7821ed6374a040a7aa9e737983a5e17a14	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004010088623712	0.00	转账	2016-01-10 06:41:54
	3561.98	20880023954916140156	156		广州地铁单程票 1张	5.00	99136847457611		6a95c1c13e6d4b498a49bbe0ec15af9114	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011021001004610092726910	0.00	转账	2016-01-10 06:43:19
	3565.98	20880025791452300156	156		广州地铁单程票 1张	4.00	99112737521231		f9ef3851a1c54fdda2aa49fec14799e430	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004230055466856	0.00	转账	2016-01-10 06:46:59
	3572.98	20886023177940090156	156		广州地铁单程票 1张	7.00	99166785446001		f57d0a5ea9d84e759a407b480f0e993c09	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011021001004000093600330	0.00	转账	2016-01-10 06:51:07
	3578.98	20886023177940090156	156		广州地铁单程票 1张	6.00	99166786766001		5a3a9a884ecc4e62ada2e84036ab4df409	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011021001004000099782174	0.00	转账	2016-01-10 06:52:10
	3582.98	20887028009313700156	156		广州地铁单程票 1张	4.00	99044947808371		9dd6bdff78a24c68bb1350ee011da4eb70	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011021001004370024478237	0.00	转账	2016-01-10 07:51:04
