	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	2751.07	20883023918656050156	156		广州地铁单程票 1张	2.00	99337446307601		c352d5677a944d9fa301bbacbc6b9b1605	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004600052486230	0.00	转账	2016-01-14 06:48:35
	2753.07	20885129937841490156	156		广州地铁单程票 1张	2.00	99002760760141		1a12b3f75ce44c37b20bf6dc70543e0149	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004140099828247	0.00	转账	2016-01-14 07:09:10
	2755.07	20887028009313700156	156		广州地铁单程票 1张	2.00	99078259227371		7b2e551154ae4ce2939d4632033c0cec70	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004370037132798	0.00	转账	2016-01-14 07:19:38
	2757.07	20885127858744890156	156		广州地铁单程票 1张	2.00	99329299904481		8efdf2978c584cab9ed90dce12e56fb289	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004480052652076	0.00	转账	2016-01-14 07:48:35
	2761.07	20880021174048690156	156		广州地铁单程票 1张	4.00	99566839334861		c9cddd6a87224951894e4866795e95f169	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004860089466779	0.00	转账	2016-01-14 07:48:56
	2763.07	20884129226747040156	156		广州地铁单程票 1张	2.00	99011770135701		050f02109d8c44a1b78157110b9b08b204	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004700052709195	0.00	转账	2016-01-14 07:51:16
	2767.07	20881121631355420156	156		广州地铁单程票 1张	4.00	98963483669541		0a935ae0ade34ed487112a4c5f25fc6142	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004540086573954	0.00	转账	2016-01-14 07:58:17
	2774.07	20887029806909220156	156		广州地铁单程票 1张	7.00	99316914959921		0db201664a2244d9b2c11058ef05f0c122	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004920092033064	0.00	转账	2016-01-14 08:01:33
	2777.07	20885127737872120156	156		广州地铁单程票 1张	3.00	99069756364211		9285ef9eb4054e4681cdedc4679483ee12	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004210056763299	0.00	转账	2016-01-14 08:04:19
	2779.07	20887026626093650156	156		广州地铁单程票 1张	2.00	99205815902361		b7d854578d324b0893450fe359d29a6865	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004360057842929	0.00	转账	2016-01-14 08:14:04
	2783.07	20880020581066950156	156		广州地铁单程票 1张	4.00	99040282011691		ccb8c33a49c440a7bd161d8e9b95609595	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004690047240713	0.00	转账	2016-01-14 08:14:48
	2790.07	20887029456794810156	156		广州地铁单程票 1张	7.00	99329378174481		21a5d3a36dd04d62b36838854fc83fb781	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004480052652471	0.00	转账	2016-01-14 08:15:28
	2793.07	20888024199098130156	156		广州地铁单程票 1张	3.00	99160834088811		627c6b9c397f45db92fa4b63cfb2143d13	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004810095940565	0.00	转账	2016-01-14 08:17:53
	2795.07	20886022866957940156	156		广州地铁单程票 1张	2.00	99110789664791		5bb4e20b9c004825a2287a2c4ba8e8b494	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004790043810470	0.00	转账	2016-01-14 08:22:02
	2798.07	20889027721003430156	156		广州地铁单程票 1张	3.00	98965885430341		e6e01ba237184536b552341ba88227e443	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004340055063035	0.00	转账	2016-01-14 08:24:32
	2804.07	20880027272827120156	156		广州地铁单程票 1张	6.00	99015127558711		d452b16697304bdbbfe2261f17ad26ce12	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004710047939975	0.00	转账	2016-01-14 08:28:08
	2808.07	20880127931155480156	156		广州地铁单程票 1张	4.00	98963680791541		ccb61ad6d08c4a39b73fe57158e3fb8848	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004540086575181	0.00	转账	2016-01-14 08:48:20
	2811.07	20883128377199310156	156		广州地铁单程票 1张	3.00	99059578922931		6c87e5e13b184beba95787d273b391e531	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004930004871159	0.00	转账	2016-01-14 08:55:20
	2821.07	20882124330602810156	156		广州地铁单程票 2张	10.00	99420699994281		2b0888d2936345888c16d4cfa07ca99881	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011421001004280058900578	0.00	转账	2016-01-14 09:04:32
	2824.07	20888022449930520156	156		广州地铁单程票 1张	3.00	98956637252051		78bfbe7e26324157a2fa09d59a1ea01d52	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004050087258490	0.00	转账	2016-01-14 09:04:46
	2827.07	20880026897818890156	156		广州地铁单程票 1张	3.00	99044719858881		a7e66a98bc2844c8b5c98b4a3ca754b889	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004880097706870	0.00	转账	2016-01-14 09:05:47
	2829.07	20885025082142340156	156		广州地铁单程票 1张	2.00	99148620388231		81b68b85c965425289533d50e71b1d2c34	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004230065222726	0.00	转账	2016-01-14 09:06:54
	2832.07	20886022375848540156	156		广州地铁单程票 1张	3.00	98974760023851		f1f2dcee7d054b078b10a1d34592fb9054	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004850092448198	0.00	转账	2016-01-14 09:08:39
	2835.07	20888028876339000156	156		广州地铁单程票 1张	3.00	99118392143901		0052983db9a84d3ea03f6556ea0f971700	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004900012917943	0.00	转账	2016-01-14 09:12:06
	2838.07	20888023907313370156	156		广州地铁单程票 1张	3.00	99119059811331		ff2e6a2e5a814ef7997b4b69c2d829d837	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004330041077201	0.00	转账	2016-01-14 09:16:06
	2844.07	20884021023721550156	156		广州地铁单程票 1张	6.00	99047050629151		03aa27f2cb3e4f70ad28342723c6e5b355	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004150094865452	0.00	转账	2016-01-14 09:25:24
	2848.07	20889126731391440156	156		广州地铁单程票 1张	4.00	99003314063141		d4a9f9b850094add8b55fe8d30282bc344	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004140000159919	0.00	转账	2016-01-14 09:26:36
	2855.07	20887022685763020156	156		广州地铁单程票 1张	7.00	99025918490301		816c423445a145b6a0582550e5a028fa02	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004300045967920	0.00	转账	2016-01-14 09:29:10
	2859.07	20885124604971030156	156		广州地铁单程票 1张	4.00	99104522912101		24fc9959004f4ca89d879dcd2ed360f203	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004100026953306	0.00	转账	2016-01-14 09:41:17
	2862.07	20883024760989400156	156		广州地铁单程票 1张	3.00	98953241354941		d9d2311a05da433389f20a27eebca1e540	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004940090552086	0.00	转账	2016-01-14 09:44:53
	2866.07	20886126917837460156	156		广州地铁单程票 1张	4.00	99092153949741		bdc6753cbff7468c9a12e97f1b12266c46	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004740043997212	0.00	转账	2016-01-14 09:47:08
	2872.07	20881026981176160156	156		广州地铁单程票 1张	6.00	99176462764611		f5f7080bf2684b39a15d1b37885847ab16	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004610041712553	0.00	转账	2016-01-14 09:54:55
